merchant_key,location_key,merchant_id,merchant_name,merchant_category,merchant_size,opened_date_key
54,4,MER000054,Shell - Shubra El Kheima #1,Fuel,Enterprise,20240322
55,2,MER000055,Mobaco - Giza #1,Fashion,Mid-Market,20240513
56,3,MER000056,Awlad Ragab - Alexandria #1,Grocery,Mid-Market,20231025
57,1,MER000057,KFC - Cairo #1,Restaurants,Enterprise,20240505
58,2,MER000058,Etisalat e& - Giza #1,Telecom,Enterprise,20240711
59,13,MER000059,Seoudi - Sohag #1,Grocery,Mid-Market,20231006
60,3,MER000060,Lulu Hypermarket - Alexandria #1,Grocery,Enterprise,20230213
61,9,MER000061,GAD - Asyut #1,Restaurants,Mid-Market,20230203
62,17,MER000062,Seif Pharmacy - Sharm El Sheikh #1,Pharmacy,Enterprise,20230815
63,1,MER000063,Gourmet Egypt - Cairo #2,Grocery,SME,20240917
64,1,MER000064,2B - Cairo #1,Electronics,Mid-Market,20241105
65,9,MER000065,Mo'men - Asyut #1,Restaurants,Mid-Market,20241001
66,2,MER000066,2B - Giza #2,Electronics,Mid-Market,20241119
67,3,MER000067,Orange - Alexandria #1,Telecom,Enterprise,20240831
68,3,MER000068,Cook Door - Alexandria #1,Restaurants,Mid-Market,20240612
69,1,MER000069,Orange - Cairo #1,Telecom,Enterprise,20240710
70,2,MER000070,Cook Door - Giza #3,Restaurants,Mid-Market,20241202
71,6,MER000071,Buffalo Burger - Tanta #1,Restaurants,Mid-Market,20240301
72,3,MER000072,B.TECH - Alexandria #1,Electronics,Enterprise,20230506
73,12,MER000073,KFC - Ismailia #1,Restaurants,Enterprise,20230927
74,3,MER000074,Gourmet Egypt - Alexandria #1,Grocery,SME,20241215
75,4,MER000075,Metro Market - Shubra El Kheima #1,Grocery,Enterprise,20231228
76,15,MER000076,Seoudi - Luxor #1,Grocery,Mid-Market,20230403
77,1,MER000077,Etisalat e& - Cairo #1,Telecom,Enterprise,20240816
78,2,MER000078,Etisalat e& - Giza #2,Telecom,Enterprise,20240709
79,1,MER000079,Emarat Misr - Cairo #1,Fuel,Enterprise,20231004
80,12,MER000080,Talabat - Ismailia #1,E-commerce,Enterprise,20240130
81,4,MER000081,BIM - Shubra El Kheima #1,Grocery,Enterprise,20230728
82,1,MER000082,Talabat - Cairo #1,E-commerce,Enterprise,20241124
83,2,MER000083,Lulu Hypermarket - Giza #1,Grocery,Enterprise,20240916
84,17,MER000084,Starbucks - Sharm El Sheikh #1,Restaurants,Enterprise,20240509
85,1,MER000085,Talabat - Cairo #2,E-commerce,Enterprise,20240105
86,2,MER000086,Vodafone - Giza #1,Telecom,Enterprise,20231210
87,2,MER000087,Raya Shop - Giza #1,Electronics,Mid-Market,20240214
88,1,MER000088,Kazyon - Cairo #1,Grocery,Enterprise,20230329
89,2,MER000089,Town Team - Giza #1,Fashion,Mid-Market,20240929
90,18,MER000090,Compu Me - Damanhur #1,Electronics,SME,20240824
91,8,MER000091,Town Team - Port Said #1,Fashion,Mid-Market,20240624
92,13,MER000092,KFC - Sohag #1,Restaurants,Enterprise,20241130
93,1,MER000093,Domino's Pizza - Cairo #1,Restaurants,Enterprise,20240815
94,2,MER000094,Ezabawy - Giza #1,Pharmacy,Mid-Market,20240616
95,2,MER000095,Etisalat e& - Giza #3,Telecom,Enterprise,20241107
96,12,MER000096,Mo'men - Ismailia #1,Restaurants,Mid-Market,20240904
97,7,MER000097,Seif Pharmacy - Zagazig #1,Pharmacy,Enterprise,20240513
98,3,MER000098,Cook Door - Alexandria #2,Restaurants,Mid-Market,20230517
99,1,MER000099,Koshary Abou Tarek - Cairo #1,Restaurants,SME,20240122
100,7,MER000100,GAD - Zagazig #1,Restaurants,Mid-Market,20231114
101,9,MER000101,B.TECH - Asyut #1,Electronics,Enterprise,20240205
102,5,MER000102,Compu Me - Mansoura #1,Electronics,SME,20231113
103,2,MER000103,Noon - Giza #2,E-commerce,Enterprise,20231022
104,1,MER000104,Amazon.eg - Cairo #1,E-commerce,Enterprise,20230126
105,1,MER000105,Emarat Misr - Cairo #2,Fuel,Enterprise,20230914
106,19,MER000106,Jumia - Fayoum #1,E-commerce,Enterprise,20231104
107,1,MER000107,WE - Cairo #1,Telecom,Enterprise,20241024
108,12,MER000108,Kazyon - Ismailia #1,Grocery,Enterprise,20241213
109,1,MER000109,Koshary Abou Tarek - Cairo #2,Restaurants,SME,20230911
110,1,MER000110,BIM - Cairo #1,Grocery,Enterprise,20240420
111,1,MER000111,Spinneys - Cairo #2,Grocery,Enterprise,20240530
112,8,MER000112,Ezabawy - Port Said #1,Pharmacy,Mid-Market,20241214
113,1,MER000113,Wataniya - Cairo #1,Fuel,Enterprise,20241225
114,1,MER000114,Buffalo Burger - Cairo #1,Restaurants,Mid-Market,20240414
115,2,MER000115,Mobaco - Giza #2,Fashion,Mid-Market,20230609
116,18,MER000116,Felfela - Damanhur #1,Restaurants,SME,20240411
117,18,MER000117,Ezabawy - Damanhur #1,Pharmacy,Mid-Market,20240309
118,3,MER000118,Noon - Alexandria #1,E-commerce,Enterprise,20230610
119,1,MER000119,2B - Cairo #2,Electronics,Mid-Market,20230907
120,1,MER000120,Kheir Zaman - Cairo #1,Grocery,Mid-Market,20230903
121,8,MER000121,BIM - Port Said #1,Grocery,Enterprise,20231008
122,3,MER000122,Domino's Pizza - Alexandria #1,Restaurants,Enterprise,20230605
123,1,MER000123,Roshdy Pharmacy - Cairo #1,Pharmacy,Mid-Market,20240921
124,2,MER000124,Felfela - Giza #1,Restaurants,SME,20241104
125,1,MER000125,Defacto - Cairo #1,Fashion,Enterprise,20231021
126,1,MER000126,McDonald's - Cairo #3,Restaurants,Enterprise,20240625
127,14,MER000127,Defacto - Hurghada #1,Fashion,Enterprise,20240819
128,3,MER000128,GAD - Alexandria #1,Restaurants,Mid-Market,20240503
129,2,MER000129,Felfela - Giza #2,Restaurants,SME,20230922
130,1,MER000130,Fathalla Market - Cairo #2,Grocery,Mid-Market,20240815
131,1,MER000131,Gourmet Egypt - Cairo #3,Grocery,SME,20231026
132,19,MER000132,Pizza Hut - Fayoum #1,Restaurants,Enterprise,20240822
133,2,MER000133,Ezabawy - Giza #2,Pharmacy,Mid-Market,20240831
134,2,MER000134,Roshdy Pharmacy - Giza #1,Pharmacy,Mid-Market,20240702
135,8,MER000135,Carrefour - Port Said #1,Grocery,Enterprise,20240318
136,1,MER000136,Seoudi - Cairo #1,Grocery,Mid-Market,20230910
137,2,MER000137,BIM - Giza #1,Grocery,Enterprise,20240319
138,3,MER000138,Roshdy Pharmacy - Alexandria #1,Pharmacy,Mid-Market,20230403
139,2,MER000139,Carrefour - Giza #1,Grocery,Enterprise,20240621
140,4,MER000140,Cook Door - Shubra El Kheima #1,Restaurants,Mid-Market,20240101
141,3,MER000141,Starbucks - Alexandria #1,Restaurants,Enterprise,20240809
142,1,MER000142,Mo'men - Cairo #2,Restaurants,Mid-Market,20240516
143,14,MER000143,Lulu Hypermarket - Hurghada #1,Grocery,Enterprise,20230128
144,2,MER000144,Seoudi - Giza #1,Grocery,Mid-Market,20231213
145,1,MER000145,Domino's Pizza - Cairo #2,Restaurants,Enterprise,20240626
146,9,MER000146,WE - Asyut #1,Telecom,Enterprise,20240717
147,9,MER000147,Emarat Misr - Asyut #1,Fuel,Enterprise,20240408
148,1,MER000148,LC Waikiki - Cairo #2,Fashion,Enterprise,20240224
149,1,MER000149,ADNOC - Cairo #4,Fuel,Enterprise,20240109
150,19,MER000150,Tradeline - Fayoum #1,Electronics,Mid-Market,20230514
151,1,MER000151,Tradeline - Cairo #2,Electronics,Mid-Market,20230702
152,4,MER000152,KFC - Shubra El Kheima #1,Restaurants,Enterprise,20240430
153,1,MER000153,Koshary Abou Tarek - Cairo #3,Restaurants,SME,20240723
154,1,MER000154,Kheir Zaman - Cairo #2,Grocery,Mid-Market,20230927
155,1,MER000155,Spinneys - Cairo #3,Grocery,Enterprise,20240127
156,3,MER000156,Lulu Hypermarket - Alexandria #2,Grocery,Enterprise,20231125
157,12,MER000157,Wataniya - Ismailia #1,Fuel,Enterprise,20240826
158,6,MER000158,Seif Pharmacy - Tanta #1,Pharmacy,Enterprise,20240908
159,9,MER000159,Koshary Abou Tarek - Asyut #1,Restaurants,SME,20240404
160,19,MER000160,Cook Door - Fayoum #1,Restaurants,Mid-Market,20241017
161,2,MER000161,Raya Shop - Giza #2,Electronics,Mid-Market,20240401
162,3,MER000162,Amazon.eg - Alexandria #1,E-commerce,Enterprise,20230622
163,8,MER000163,Tradeline - Port Said #1,Electronics,Mid-Market,20240514
164,1,MER000164,Felfela - Cairo #1,Restaurants,SME,20230610
165,17,MER000165,Shell - Sharm El Sheikh #1,Fuel,Enterprise,20230426
166,4,MER000166,Wataniya - Shubra El Kheima #1,Fuel,Enterprise,20230423
167,3,MER000167,El Ezaby Pharmacy - Alexandria #2,Pharmacy,Enterprise,20240710
168,1,MER000168,El Ezaby Pharmacy - Cairo #2,Pharmacy,Enterprise,20241126
169,16,MER000169,Felfela - Aswan #1,Restaurants,SME,20241012
170,3,MER000170,Starbucks - Alexandria #2,Restaurants,Enterprise,20230916
171,1,MER000171,Amazon.eg - Cairo #2,E-commerce,Enterprise,20241109
172,3,MER000172,Carrefour - Alexandria #1,Grocery,Enterprise,20241211
173,2,MER000173,TotalEnergies - Giza #1,Fuel,Enterprise,20240302
174,1,MER000174,Domino's Pizza - Cairo #3,Restaurants,Enterprise,20240417
175,1,MER000175,Kazyon - Cairo #2,Grocery,Enterprise,20240908
176,2,MER000176,Roshdy Pharmacy - Giza #2,Pharmacy,Mid-Market,20240531
177,3,MER000177,Domino's Pizza - Alexandria #2,Restaurants,Enterprise,20230211
178,2,MER000178,Tradeline - Giza #1,Electronics,Mid-Market,20231028
179,14,MER000179,Seif Pharmacy - Hurghada #1,Pharmacy,Enterprise,20240918
180,18,MER000180,Hyper One - Damanhur #1,Grocery,Enterprise,20241114
181,1,MER000181,Buffalo Burger - Cairo #2,Restaurants,Mid-Market,20241225
182,1,MER000182,Max Fashion - Cairo #2,Fashion,Enterprise,20240114
183,6,MER000183,Ezabawy - Tanta #1,Pharmacy,Mid-Market,20230615
184,3,MER000184,Town Team - Alexandria #1,Fashion,Mid-Market,20231220
185,2,MER000185,instashop - Giza #1,E-commerce,Mid-Market,20241024
186,1,MER000186,Carrefour - Cairo #1,Grocery,Enterprise,20240124
187,1,MER000187,Seif Pharmacy - Cairo #2,Pharmacy,Enterprise,20241027
188,2,MER000188,Orange - Giza #1,Telecom,Enterprise,20240205
189,1,MER000189,Mo'men - Cairo #3,Restaurants,Mid-Market,20240608
190,1,MER000190,Shell - Cairo #1,Fuel,Enterprise,20240820
191,2,MER000191,Town Team - Giza #2,Fashion,Mid-Market,20240607
192,1,MER000192,Pizza Hut - Cairo #1,Restaurants,Enterprise,20230930
193,1,MER000193,Hardee's - Cairo #1,Restaurants,Enterprise,20240703
194,1,MER000194,ADNOC - Cairo #5,Fuel,Enterprise,20240205
195,5,MER000195,GAD - Mansoura #1,Restaurants,Mid-Market,20240310
196,3,MER000196,Kazyon - Alexandria #1,Grocery,Enterprise,20230510
197,3,MER000197,Starbucks - Alexandria #3,Restaurants,Enterprise,20240122
198,19,MER000198,Domino's Pizza - Fayoum #1,Restaurants,Enterprise,20240617
199,2,MER000199,Carrefour - Giza #2,Grocery,Enterprise,20240505
200,10,MER000200,2B - Minya #1,Electronics,Mid-Market,20241105
201,1,MER000201,Cook Door - Cairo #2,Restaurants,Mid-Market,20230220
202,11,MER000202,Koshary Abou Tarek - Suez #1,Restaurants,SME,20240526
203,1,MER000203,GAD - Cairo #2,Restaurants,Mid-Market,20230523
204,7,MER000204,ADNOC - Zagazig #1,Fuel,Enterprise,20240608
205,7,MER000205,instashop - Zagazig #1,E-commerce,Mid-Market,20231009
206,15,MER000206,Hardee's - Luxor #1,Restaurants,Enterprise,20240604
207,1,MER000207,Buffalo Burger - Cairo #3,Restaurants,Mid-Market,20240611
208,1,MER000208,Pizza Hut - Cairo #2,Restaurants,Enterprise,20240201
209,1,MER000209,Seoudi - Cairo #2,Grocery,Mid-Market,20240416
210,2,MER000210,ADNOC - Giza #1,Fuel,Enterprise,20240601
211,13,MER000211,Lulu Hypermarket - Sohag #1,Grocery,Enterprise,20230921
212,15,MER000212,Seoudi - Luxor #2,Grocery,Mid-Market,20230207
213,1,MER000213,Cook Door - Cairo #3,Restaurants,Mid-Market,20230816
214,13,MER000214,Concrete - Sohag #1,Fashion,Mid-Market,20241109
215,18,MER000215,Cook Door - Damanhur #1,Restaurants,Mid-Market,20230901
216,1,MER000216,instashop - Cairo #1,E-commerce,Mid-Market,20231026
217,12,MER000217,Concrete - Ismailia #1,Fashion,Mid-Market,20240411
218,1,MER000218,B.TECH - Cairo #3,Electronics,Enterprise,20240621
219,1,MER000219,Wataniya - Cairo #2,Fuel,Enterprise,20230107
220,18,MER000220,Felfela - Damanhur #2,Restaurants,SME,20241031
221,1,MER000221,Kazyon - Cairo #3,Grocery,Enterprise,20230903
222,1,MER000222,Seif Pharmacy - Cairo #3,Pharmacy,Enterprise,20230930
223,5,MER000223,Koshary Abou Tarek - Mansoura #1,Restaurants,SME,20240818
224,12,MER000224,Fathalla Market - Ismailia #1,Grocery,Mid-Market,20240108
225,10,MER000225,Domino's Pizza - Minya #1,Restaurants,Enterprise,20230901
226,1,MER000226,Ezabawy - Cairo #1,Pharmacy,Mid-Market,20240915
227,3,MER000227,Concrete - Alexandria #1,Fashion,Mid-Market,20231013
228,14,MER000228,Carrefour - Hurghada #1,Grocery,Enterprise,20231218
229,1,MER000229,Shell - Cairo #2,Fuel,Enterprise,20240229
230,14,MER000230,Seif Pharmacy - Hurghada #2,Pharmacy,Enterprise,20240814
231,4,MER000231,WE - Shubra El Kheima #1,Telecom,Enterprise,20230715
232,2,MER000232,Ezabawy - Giza #3,Pharmacy,Mid-Market,20240604
233,1,MER000233,Lulu Hypermarket - Cairo #2,Grocery,Enterprise,20240731
234,2,MER000234,Roshdy Pharmacy - Giza #3,Pharmacy,Mid-Market,20240405
235,1,MER000235,Koshary Abou Tarek - Cairo #4,Restaurants,SME,20241201
236,1,MER000236,Gourmet Egypt - Cairo #4,Grocery,SME,20240730
237,5,MER000237,Fathalla Market - Mansoura #1,Grocery,Mid-Market,20240811
238,1,MER000238,Amazon.eg - Cairo #3,E-commerce,Enterprise,20230517
239,2,MER000239,WE - Giza #2,Telecom,Enterprise,20240714
240,1,MER000240,Pizza Hut - Cairo #3,Restaurants,Enterprise,20230926
241,1,MER000241,Ezabawy - Cairo #2,Pharmacy,Mid-Market,20240317
242,1,MER000242,Carrefour - Cairo #2,Grocery,Enterprise,20230506
243,9,MER000243,B.TECH - Asyut #2,Electronics,Enterprise,20240706
244,1,MER000244,Spinneys - Cairo #4,Grocery,Enterprise,20240502
245,1,MER000245,Metro Market - Cairo #1,Grocery,Enterprise,20230917
246,10,MER000246,Awlad Ragab - Minya #1,Grocery,Mid-Market,20231017
247,2,MER000247,Koshary Abou Tarek - Giza #1,Restaurants,SME,20231229
248,1,MER000248,Lulu Hypermarket - Cairo #3,Grocery,Enterprise,20241116
249,2,MER000249,instashop - Giza #2,E-commerce,Mid-Market,20241205
250,10,MER000250,Lulu Hypermarket - Minya #1,Grocery,Enterprise,20230523
251,8,MER000251,B.TECH - Port Said #1,Electronics,Enterprise,20240409
252,3,MER000252,Raya Shop - Alexandria #1,Electronics,Mid-Market,20230624
253,8,MER000253,Gourmet Egypt - Port Said #1,Grocery,SME,20240103
254,2,MER000254,Seif Pharmacy - Giza #1,Pharmacy,Enterprise,20241231
255,2,MER000255,Wataniya - Giza #1,Fuel,Enterprise,20241031
256,12,MER000256,instashop - Ismailia #1,E-commerce,Mid-Market,20240325
257,4,MER000257,Carrefour - Shubra El Kheima #1,Grocery,Enterprise,20230902
258,2,MER000258,Hardee's - Giza #1,Restaurants,Enterprise,20241129
259,3,MER000259,TotalEnergies - Alexandria #1,Fuel,Enterprise,20240522
260,1,MER000260,instashop - Cairo #2,E-commerce,Mid-Market,20240219
261,10,MER000261,Defacto - Minya #2,Fashion,Enterprise,20240420
262,1,MER000262,Jumia - Cairo #1,E-commerce,Enterprise,20240614
263,2,MER000263,Ezabawy - Giza #4,Pharmacy,Mid-Market,20240909
264,1,MER000264,Orange - Cairo #2,Telecom,Enterprise,20241108
265,2,MER000265,Mobaco - Giza #3,Fashion,Mid-Market,20241114
266,1,MER000266,Wataniya - Cairo #3,Fuel,Enterprise,20240411
267,1,MER000267,El Ezaby Pharmacy - Cairo #3,Pharmacy,Enterprise,20240511
268,4,MER000268,Domino's Pizza - Shubra El Kheima #1,Restaurants,Enterprise,20240406
269,11,MER000269,Kheir Zaman - Suez #1,Grocery,Mid-Market,20240401
270,8,MER000270,BIM - Port Said #2,Grocery,Enterprise,20230731
271,2,MER000271,Shell - Giza #2,Fuel,Enterprise,20240924
272,1,MER000272,Awlad Ragab - Cairo #1,Grocery,Mid-Market,20240808
273,2,MER000273,El Ezaby Pharmacy - Giza #1,Pharmacy,Enterprise,20240103
274,1,MER000274,McDonald's - Cairo #4,Restaurants,Enterprise,20240601
275,2,MER000275,Pizza Hut - Giza #1,Restaurants,Enterprise,20240427
276,5,MER000276,El Ezaby Pharmacy - Mansoura #1,Pharmacy,Enterprise,20230113
277,2,MER000277,Roshdy Pharmacy - Giza #4,Pharmacy,Mid-Market,20231118
278,1,MER000278,Vodafone - Cairo #1,Telecom,Enterprise,20240917
279,11,MER000279,Fathalla Market - Suez #1,Grocery,Mid-Market,20240129
280,8,MER000280,Etisalat e& - Port Said #1,Telecom,Enterprise,20230406
281,1,MER000281,B.TECH - Cairo #4,Electronics,Enterprise,20241119
282,1,MER000282,Vodafone - Cairo #2,Telecom,Enterprise,20230521
283,1,MER000283,Town Team - Cairo #1,Fashion,Mid-Market,20230724
284,1,MER000284,GAD - Cairo #3,Restaurants,Mid-Market,20230723
285,10,MER000285,Starbucks - Minya #1,Restaurants,Enterprise,20241013
286,3,MER000286,Defacto - Alexandria #1,Fashion,Enterprise,20230629
287,3,MER000287,Talabat - Alexandria #1,E-commerce,Enterprise,20241031
288,2,MER000288,Raya Shop - Giza #3,Electronics,Mid-Market,20230811
289,2,MER000289,Metro Market - Giza #1,Grocery,Enterprise,20230901
290,1,MER000290,Domino's Pizza - Cairo #4,Restaurants,Enterprise,20240304
291,2,MER000291,BIM - Giza #2,Grocery,Enterprise,20231216
292,2,MER000292,Starbucks - Giza #1,Restaurants,Enterprise,20230402
293,1,MER000293,Hyper One - Cairo #2,Grocery,Enterprise,20230814
294,1,MER000294,Kazyon - Cairo #4,Grocery,Enterprise,20230904
295,1,MER000295,Misr Petroleum - Cairo #1,Fuel,Enterprise,20231016
296,13,MER000296,Jumia - Sohag #1,E-commerce,Enterprise,20230811
297,2,MER000297,Seif Pharmacy - Giza #2,Pharmacy,Enterprise,20240419
298,1,MER000298,Compu Me - Cairo #3,Electronics,SME,20241017
299,4,MER000299,Orange - Shubra El Kheima #1,Telecom,Enterprise,20231230
300,13,MER000300,Seif Pharmacy - Sohag #1,Pharmacy,Enterprise,20240422
301,1,MER000301,El Ezaby Pharmacy - Cairo #4,Pharmacy,Enterprise,20240329
302,2,MER000302,Orange - Giza #2,Telecom,Enterprise,20230326
303,3,MER000303,Etisalat e& - Alexandria #1,Telecom,Enterprise,20230905
304,16,MER000304,Carrefour - Aswan #1,Grocery,Enterprise,20240511
305,3,MER000305,Mo'men - Alexandria #1,Restaurants,Mid-Market,20240901
306,2,MER000306,Seif Pharmacy - Giza #3,Pharmacy,Enterprise,20230628
307,2,MER000307,McDonald's - Giza #1,Restaurants,Enterprise,20241206
308,7,MER000308,Wataniya - Zagazig #1,Fuel,Enterprise,20241122
309,3,MER000309,Spinneys - Alexandria #1,Grocery,Enterprise,20241010
310,2,MER000310,instashop - Giza #3,E-commerce,Mid-Market,20230914
311,1,MER000311,Vodafone - Cairo #3,Telecom,Enterprise,20240622
312,1,MER000312,Pizza Hut - Cairo #4,Restaurants,Enterprise,20241110
313,1,MER000313,WE - Cairo #2,Telecom,Enterprise,20240708
314,1,MER000314,Jumia - Cairo #2,E-commerce,Enterprise,20240824
315,1,MER000315,Lulu Hypermarket - Cairo #4,Grocery,Enterprise,20240308
316,1,MER000316,McDonald's - Cairo #5,Restaurants,Enterprise,20240604
317,10,MER000317,Noon - Minya #1,E-commerce,Enterprise,20240203
318,6,MER000318,El Ezaby Pharmacy - Tanta #1,Pharmacy,Enterprise,20230317
319,3,MER000319,WE - Alexandria #1,Telecom,Enterprise,20230318
320,1,MER000320,Koshary Abou Tarek - Cairo #5,Restaurants,SME,20240524
321,1,MER000321,Compu Me - Cairo #4,Electronics,SME,20230810
322,14,MER000322,Orange - Hurghada #1,Telecom,Enterprise,20241210
323,3,MER000323,Cook Door - Alexandria #3,Restaurants,Mid-Market,20230114
324,5,MER000324,Kheir Zaman - Mansoura #1,Grocery,Mid-Market,20240926
325,5,MER000325,Seif Pharmacy - Mansoura #1,Pharmacy,Enterprise,20241015
326,18,MER000326,Vodafone - Damanhur #1,Telecom,Enterprise,20240822
327,13,MER000327,Concrete - Sohag #2,Fashion,Mid-Market,20240925
328,1,MER000328,BIM - Cairo #2,Grocery,Enterprise,20240426
329,1,MER000329,Talabat - Cairo #3,E-commerce,Enterprise,20241009
330,1,MER000330,Pizza Hut - Cairo #5,Restaurants,Enterprise,20230729
331,18,MER000331,Domino's Pizza - Damanhur #1,Restaurants,Enterprise,20240217
332,12,MER000332,instashop - Ismailia #2,E-commerce,Mid-Market,20241113
333,1,MER000333,Talabat - Cairo #4,E-commerce,Enterprise,20240929
334,6,MER000334,Raya Shop - Tanta #1,Electronics,Mid-Market,20241204
335,2,MER000335,KFC - Giza #1,Restaurants,Enterprise,20240602
336,1,MER000336,Starbucks - Cairo #3,Restaurants,Enterprise,20230316
337,1,MER000337,TotalEnergies - Cairo #1,Fuel,Enterprise,20230418
338,16,MER000338,Jumia - Aswan #1,E-commerce,Enterprise,20230830
339,3,MER000339,Mo'men - Alexandria #2,Restaurants,Mid-Market,20230909
340,9,MER000340,Koshary Abou Tarek - Asyut #2,Restaurants,SME,20230114
341,3,MER000341,Concrete - Alexandria #2,Fashion,Mid-Market,20230820
342,1,MER000342,Defacto - Cairo #2,Fashion,Enterprise,20231226
343,1,MER000343,Felfela - Cairo #2,Restaurants,SME,20241014
344,3,MER000344,Felfela - Alexandria #1,Restaurants,SME,20240407
345,3,MER000345,Seoudi - Alexandria #1,Grocery,Mid-Market,20230807
346,1,MER000346,Roshdy Pharmacy - Cairo #2,Pharmacy,Mid-Market,20240926
347,4,MER000347,Pizza Hut - Shubra El Kheima #1,Restaurants,Enterprise,20240610
348,2,MER000348,Felfela - Giza #3,Restaurants,SME,20240528
349,2,MER000349,Roshdy Pharmacy - Giza #5,Pharmacy,Mid-Market,20240225
350,2,MER000350,El Ezaby Pharmacy - Giza #2,Pharmacy,Enterprise,20240501
351,1,MER000351,Buffalo Burger - Cairo #4,Restaurants,Mid-Market,20230917
352,2,MER000352,Awlad Ragab - Giza #1,Grocery,Mid-Market,20231118
353,9,MER000353,KFC - Asyut #1,Restaurants,Enterprise,20230920
354,3,MER000354,Mobaco - Alexandria #2,Fashion,Mid-Market,20230520
355,1,MER000355,LC Waikiki - Cairo #3,Fashion,Enterprise,20240129
356,18,MER000356,Jumia - Damanhur #1,E-commerce,Enterprise,20241013
357,2,MER000357,Orange - Giza #3,Telecom,Enterprise,20240604
358,1,MER000358,Emarat Misr - Cairo #3,Fuel,Enterprise,20240813
359,4,MER000359,Roshdy Pharmacy - Shubra El Kheima #1,Pharmacy,Mid-Market,20240121
