account_key,account_id,location_key,currency,age_band,acquisition_channel,signup_date_key,customer_tier,account_status
64,ACC00000064,3,EGP,35-44,Influencer,20240728,Standard,Active
65,ACC00000065,2,EGP,25-34,Organic,20241018,Standard,Active
66,ACC00000066,1,EGP,18-24,Paid Social,20240914,Standard,Active
67,ACC00000067,9,EGP,25-34,Paid Social,20230927,Standard,Active
68,ACC00000068,9,EGP,25-34,Referral,20230223,Premium,Active
69,ACC00000069,2,EGP,55-64,Organic,20231206,Standard,Dormant
70,ACC00000070,1,EGP,25-34,Paid Social,20231030,Standard,Closed
71,ACC00000071,5,EGP,25-34,Paid Social,20230911,Standard,Active
72,ACC00000072,16,EGP,18-24,Organic,20241205,Standard,Active
73,ACC00000073,3,EGP,25-34,Organic,20241103,Standard,Active
74,ACC00000074,6,EGP,35-44,Influencer,20231206,Standard,Active
75,ACC00000075,2,EGP,25-34,Google Ads,20240712,Standard,Active
76,ACC00000076,1,EGP,18-24,Referral,20240203,Standard,Active
77,ACC00000077,2,USD,55-64,Organic,20241122,Premium,Active
78,ACC00000078,3,EGP,35-44,Paid Social,20240316,Standard,Active
79,ACC00000079,3,EGP,35-44,Branch,20231027,Premium,Suspended
80,ACC00000080,7,EGP,25-34,Branch,20231012,Standard,Active
81,ACC00000081,1,EGP,18-24,Google Ads,20240519,Standard,Suspended
82,ACC00000082,1,EGP,45-54,Influencer,20231026,Standard,Active
83,ACC00000083,4,EGP,25-34,Referral,20240602,Premium,Active
84,ACC00000084,8,EGP,45-54,Referral,20241114,Standard,Active
85,ACC00000085,3,EGP,25-34,Partner,20240205,Premium,Active
86,ACC00000086,6,EGP,18-24,Paid Social,20230919,Premium,Active
87,ACC00000087,1,SAR,25-34,Referral,20241230,Premium,Active
88,ACC00000088,17,EGP,25-34,Organic,20240417,Standard,Active
89,ACC00000089,7,EGP,18-24,Referral,20230512,Standard,Active
90,ACC00000090,3,EGP,35-44,Influencer,20230316,Premium,Active
91,ACC00000091,2,EGP,35-44,Google Ads,20230602,Standard,Active
92,ACC00000092,1,EGP,18-24,Referral,20240626,Standard,Active
93,ACC00000093,5,EGP,45-54,Organic,20240922,Standard,Active
94,ACC00000094,1,EGP,25-34,Branch,20240221,Premium,Active
95,ACC00000095,1,EGP,25-34,Paid Social,20230407,Premium,Active
96,ACC00000096,3,EGP,18-24,Influencer,20240124,Standard,Active
97,ACC00000097,10,EGP,25-34,Organic,20241230,Standard,Active
98,ACC00000098,12,EGP,18-24,Paid Social,20240429,Standard,Active
99,ACC00000099,17,EGP,18-24,Branch,20241218,Premium,Active
100,ACC00000100,10,EGP,25-34,Paid Social,20241027,Standard,Active
101,ACC00000101,1,EGP,35-44,Organic,20230121,Premium,Active
102,ACC00000102,2,EGP,18-24,Paid Social,20240816,Standard,Active
103,ACC00000103,3,EGP,25-34,Branch,20240726,Premium,Active
104,ACC00000104,1,EGP,65+,Organic,20240504,Standard,Active
105,ACC00000105,1,EGP,65+,Referral,20231029,Standard,Active
106,ACC00000106,1,EGP,25-34,Google Ads,20240704,Premium,Active
107,ACC00000107,2,EGP,25-34,Organic,20230604,Standard,Active
108,ACC00000108,12,EGP,55-64,Influencer,20240229,Premium,Active
109,ACC00000109,2,EGP,18-24,Referral,20240313,Standard,Active
110,ACC00000110,2,EGP,25-34,Influencer,20241210,Standard,Active
111,ACC00000111,17,EGP,25-34,Referral,20241103,Standard,Active
112,ACC00000112,3,EGP,35-44,Organic,20231026,Standard,Active
113,ACC00000113,2,EGP,25-34,Paid Social,20240412,Standard,Active
114,ACC00000114,1,EGP,25-34,Organic,20230812,Business,Active
115,ACC00000115,3,EGP,65+,Google Ads,20241121,Premium,Active
116,ACC00000116,16,EGP,25-34,Paid Social,20241031,Premium,Active
117,ACC00000117,7,EGP,55-64,Referral,20231123,Standard,Active
118,ACC00000118,2,EGP,35-44,Organic,20240703,Standard,Active
119,ACC00000119,3,EGP,45-54,Organic,20240616,Premium,Suspended
120,ACC00000120,18,EGP,35-44,Paid Social,20230718,Standard,Active
121,ACC00000121,9,EGP,25-34,Organic,20240907,Standard,Active
122,ACC00000122,3,AED,25-34,Paid Social,20240506,Business,Active
123,ACC00000123,2,EGP,35-44,Paid Social,20240916,Premium,Active
124,ACC00000124,8,EGP,18-24,Partner,20240430,Standard,Active
125,ACC00000125,18,EGP,18-24,Referral,20230102,Standard,Dormant
126,ACC00000126,1,EGP,25-34,Google Ads,20231213,Standard,Dormant
127,ACC00000127,5,EGP,35-44,Partner,20230203,Standard,Closed
128,ACC00000128,2,EGP,18-24,Partner,20241129,Standard,Active
129,ACC00000129,17,EGP,18-24,Google Ads,20241104,Standard,Dormant
130,ACC00000130,2,EGP,25-34,Organic,20241012,Business,Active
131,ACC00000131,2,EGP,18-24,Partner,20231130,Standard,Active
132,ACC00000132,3,EGP,35-44,Paid Social,20230331,Business,Active
133,ACC00000133,1,EGP,25-34,Referral,20241104,Standard,Active
134,ACC00000134,2,EGP,18-24,Referral,20241207,Standard,Active
135,ACC00000135,2,EGP,55-64,Google Ads,20230505,Standard,Active
136,ACC00000136,2,EGP,25-34,Organic,20240403,Standard,Active
137,ACC00000137,1,EGP,25-34,Influencer,20230415,Standard,Active
138,ACC00000138,3,EGP,25-34,Referral,20240906,Standard,Active
139,ACC00000139,3,EGP,25-34,Partner,20240909,Premium,Active
140,ACC00000140,1,USD,55-64,Paid Social,20230623,Premium,Active
141,ACC00000141,4,EGP,65+,Google Ads,20240327,Standard,Active
142,ACC00000142,16,EGP,25-34,Referral,20240512,Standard,Suspended
143,ACC00000143,1,EGP,35-44,Paid Social,20231028,Standard,Dormant
144,ACC00000144,14,EGP,18-24,Partner,20241101,Standard,Closed
145,ACC00000145,1,EGP,65+,Referral,20240221,Business,Active
146,ACC00000146,1,EGP,35-44,Organic,20230912,Premium,Active
147,ACC00000147,2,EGP,25-34,Branch,20240506,Premium,Active
148,ACC00000148,2,EGP,25-34,Branch,20240821,Standard,Active
149,ACC00000149,3,EGP,25-34,Organic,20230902,Premium,Active
150,ACC00000150,10,EGP,45-54,Branch,20231203,Standard,Active
151,ACC00000151,9,USD,45-54,Organic,20241229,Business,Active
152,ACC00000152,2,EGP,25-34,Organic,20240709,Standard,Active
153,ACC00000153,3,EGP,35-44,Referral,20240302,Standard,Active
154,ACC00000154,2,EGP,18-24,Organic,20240422,Standard,Active
155,ACC00000155,1,EGP,18-24,Paid Social,20230615,Standard,Active
156,ACC00000156,18,EGP,25-34,Organic,20230923,Premium,Suspended
157,ACC00000157,11,EGP,35-44,Paid Social,20231223,Business,Active
158,ACC00000158,9,EGP,25-34,Google Ads,20240604,Standard,Active
159,ACC00000159,3,EGP,35-44,Paid Social,20230928,Standard,Active
160,ACC00000160,2,EGP,18-24,Google Ads,20230919,Standard,Active
161,ACC00000161,1,EGP,65+,Paid Social,20230417,Business,Active
162,ACC00000162,3,EGP,18-24,Google Ads,20240628,Standard,Active
163,ACC00000163,5,EGP,65+,Referral,20230927,Business,Active
164,ACC00000164,1,EGP,25-34,Paid Social,20241117,Standard,Active
165,ACC00000165,3,EGP,25-34,Referral,20241026,Standard,Active
166,ACC00000166,15,EGP,45-54,Organic,20230417,Premium,Active
167,ACC00000167,5,EGP,25-34,Google Ads,20231005,Standard,Active
168,ACC00000168,1,EGP,25-34,Influencer,20240719,Standard,Active
169,ACC00000169,1,EGP,18-24,Branch,20230914,Standard,Active
170,ACC00000170,7,EGP,18-24,Referral,20230627,Standard,Closed
171,ACC00000171,15,EGP,18-24,Branch,20241202,Standard,Active
172,ACC00000172,7,EGP,35-44,Partner,20240525,Standard,Suspended
173,ACC00000173,9,EGP,25-34,Organic,20240325,Standard,Closed
174,ACC00000174,1,EGP,25-34,Organic,20240919,Standard,Active
175,ACC00000175,3,EGP,18-24,Organic,20240930,Standard,Active
176,ACC00000176,3,EGP,18-24,Google Ads,20230823,Standard,Active
177,ACC00000177,13,EGP,25-34,Organic,20230519,Premium,Active
178,ACC00000178,4,EGP,55-64,Google Ads,20240227,Business,Active
179,ACC00000179,4,USD,25-34,Paid Social,20240222,Business,Active
180,ACC00000180,1,EGP,18-24,Partner,20240321,Standard,Active
181,ACC00000181,3,EGP,25-34,Paid Social,20240821,Premium,Active
182,ACC00000182,5,EGP,25-34,Paid Social,20240722,Standard,Active
183,ACC00000183,1,EGP,35-44,Organic,20241224,Standard,Active
184,ACC00000184,13,EGP,35-44,Organic,20230520,Premium,Active
185,ACC00000185,1,EGP,25-34,Google Ads,20240207,Standard,Active
186,ACC00000186,2,EGP,45-54,Paid Social,20231224,Standard,Active
187,ACC00000187,13,EGP,18-24,Paid Social,20241027,Standard,Active
188,ACC00000188,2,EGP,55-64,Paid Social,20231014,Premium,Active
189,ACC00000189,1,EGP,18-24,Paid Social,20230823,Standard,Active
190,ACC00000190,1,EGP,25-34,Referral,20240309,Premium,Active
191,ACC00000191,1,EGP,25-34,Partner,20240221,Standard,Active
192,ACC00000192,5,EGP,35-44,Paid Social,20231107,Standard,Active
193,ACC00000193,2,EGP,35-44,Paid Social,20231015,Standard,Active
194,ACC00000194,1,EGP,35-44,Google Ads,20241126,Standard,Active
195,ACC00000195,1,EGP,35-44,Referral,20240306,Standard,Active
196,ACC00000196,17,EGP,18-24,Organic,20241027,Standard,Active
197,ACC00000197,8,EGP,35-44,Organic,20240512,Premium,Suspended
198,ACC00000198,2,EGP,35-44,Organic,20230321,Premium,Suspended
199,ACC00000199,2,EGP,45-54,Influencer,20241231,Premium,Active
200,ACC00000200,10,EGP,25-34,Referral,20241014,Standard,Active
201,ACC00000201,1,EGP,18-24,Branch,20241217,Standard,Active
202,ACC00000202,1,USD,25-34,Organic,20241127,Standard,Active
203,ACC00000203,3,EGP,35-44,Referral,20241021,Standard,Active
204,ACC00000204,1,EGP,45-54,Organic,20230801,Standard,Active
205,ACC00000205,15,EGP,45-54,Organic,20240402,Standard,Suspended
206,ACC00000206,2,EGP,35-44,Organic,20230914,Standard,Active
207,ACC00000207,1,EGP,35-44,Referral,20240206,Premium,Active
208,ACC00000208,1,EGP,25-34,Referral,20230401,Standard,Closed
209,ACC00000209,15,EGP,25-34,Referral,20240122,Standard,Active
210,ACC00000210,1,EGP,45-54,Referral,20241225,Standard,Active
211,ACC00000211,3,EGP,35-44,Referral,20231028,Standard,Active
212,ACC00000212,1,USD,18-24,Google Ads,20240918,Premium,Active
213,ACC00000213,2,USD,25-34,Paid Social,20240314,Premium,Active
214,ACC00000214,19,EGP,18-24,Referral,20240221,Standard,Active
215,ACC00000215,11,EGP,25-34,Paid Social,20241212,Standard,Active
216,ACC00000216,3,EGP,45-54,Referral,20241229,Standard,Active
217,ACC00000217,1,EGP,18-24,Organic,20240515,Standard,Active
218,ACC00000218,1,AED,25-34,Organic,20240815,Premium,Active
219,ACC00000219,1,EGP,25-34,Paid Social,20230720,Standard,Dormant
220,ACC00000220,1,EGP,35-44,Referral,20231122,Standard,Active
221,ACC00000221,11,EGP,35-44,Referral,20241217,Standard,Active
222,ACC00000222,6,EGP,25-34,Organic,20240529,Standard,Active
223,ACC00000223,1,EGP,18-24,Referral,20240507,Standard,Active
224,ACC00000224,1,EGP,45-54,Referral,20240831,Standard,Active
225,ACC00000225,3,EGP,25-34,Partner,20230330,Standard,Active
226,ACC00000226,3,EGP,35-44,Branch,20240601,Standard,Active
227,ACC00000227,19,EGP,25-34,Organic,20240413,Standard,Suspended
228,ACC00000228,1,EGP,25-34,Branch,20241023,Premium,Active
229,ACC00000229,2,EGP,65+,Influencer,20230723,Standard,Active
230,ACC00000230,2,EGP,25-34,Referral,20241213,Premium,Active
231,ACC00000231,3,EGP,35-44,Google Ads,20230429,Standard,Active
232,ACC00000232,13,EUR,45-54,Referral,20230819,Premium,Active
233,ACC00000233,9,EGP,25-34,Google Ads,20240608,Premium,Active
234,ACC00000234,1,EGP,18-24,Branch,20240723,Standard,Active
235,ACC00000235,2,EGP,35-44,Organic,20231003,Business,Active
236,ACC00000236,5,EGP,45-54,Google Ads,20230614,Premium,Active
237,ACC00000237,3,EGP,18-24,Influencer,20241110,Standard,Active
238,ACC00000238,15,EGP,35-44,Referral,20231012,Standard,Dormant
239,ACC00000239,14,EGP,45-54,Organic,20240607,Premium,Active
240,ACC00000240,7,EGP,35-44,Organic,20240622,Premium,Active
241,ACC00000241,16,EGP,18-24,Branch,20240219,Standard,Active
242,ACC00000242,2,EGP,45-54,Referral,20240601,Premium,Dormant
243,ACC00000243,2,EGP,25-34,Partner,20240425,Premium,Active
244,ACC00000244,1,EGP,35-44,Influencer,20241201,Business,Active
245,ACC00000245,2,EGP,18-24,Organic,20230905,Standard,Dormant
246,ACC00000246,1,EGP,25-34,Referral,20240814,Standard,Active
247,ACC00000247,3,EGP,35-44,Organic,20231005,Standard,Suspended
248,ACC00000248,3,EGP,25-34,Referral,20240203,Standard,Active
249,ACC00000249,2,EGP,65+,Referral,20240721,Premium,Active
250,ACC00000250,4,EGP,55-64,Partner,20231124,Standard,Active
251,ACC00000251,1,EGP,55-64,Referral,20231207,Standard,Active
252,ACC00000252,1,EGP,18-24,Paid Social,20240902,Standard,Active
253,ACC00000253,2,EGP,25-34,Paid Social,20230419,Business,Suspended
254,ACC00000254,2,EGP,25-34,Organic,20240316,Standard,Suspended
255,ACC00000255,5,EGP,25-34,Paid Social,20241231,Standard,Active
256,ACC00000256,5,EGP,45-54,Referral,20241230,Standard,Active
257,ACC00000257,2,EGP,25-34,Organic,20230420,Premium,Active
258,ACC00000258,2,EGP,25-34,Organic,20230913,Standard,Active
259,ACC00000259,2,EGP,18-24,Referral,20231028,Standard,Suspended
260,ACC00000260,1,EGP,25-34,Organic,20241201,Standard,Active
261,ACC00000261,2,EGP,55-64,Paid Social,20241105,Standard,Active
262,ACC00000262,4,EGP,35-44,Referral,20241105,Standard,Active
263,ACC00000263,1,EGP,35-44,Paid Social,20240115,Premium,Active
264,ACC00000264,19,USD,25-34,Influencer,20230723,Business,Suspended
265,ACC00000265,2,EGP,45-54,Organic,20241013,Premium,Active
266,ACC00000266,18,EGP,45-54,Google Ads,20240807,Standard,Active
267,ACC00000267,6,EGP,45-54,Organic,20240617,Standard,Active
268,ACC00000268,3,EGP,25-34,Organic,20241226,Standard,Active
269,ACC00000269,9,EGP,18-24,Organic,20240711,Standard,Active
270,ACC00000270,1,EGP,25-34,Organic,20230114,Premium,Active
271,ACC00000271,2,EGP,25-34,Organic,20241005,Standard,Active
272,ACC00000272,3,EGP,25-34,Organic,20231124,Standard,Active
273,ACC00000273,14,EGP,35-44,Paid Social,20240716,Premium,Active
274,ACC00000274,13,EGP,55-64,Paid Social,20241203,Standard,Active
275,ACC00000275,1,EGP,18-24,Paid Social,20230629,Standard,Active
276,ACC00000276,2,EGP,25-34,Paid Social,20230609,Standard,Closed
277,ACC00000277,12,EGP,25-34,Organic,20230530,Premium,Dormant
278,ACC00000278,1,EGP,55-64,Google Ads,20240514,Business,Active
279,ACC00000279,5,EGP,18-24,Paid Social,20231102,Standard,Dormant
280,ACC00000280,1,USD,25-34,Branch,20240613,Premium,Active
281,ACC00000281,9,EGP,25-34,Referral,20240815,Premium,Active
282,ACC00000282,1,EGP,18-24,Influencer,20230905,Standard,Active
283,ACC00000283,1,USD,45-54,Branch,20240630,Premium,Dormant
284,ACC00000284,14,EGP,45-54,Organic,20231027,Standard,Active
285,ACC00000285,3,EGP,18-24,Organic,20240404,Standard,Active
286,ACC00000286,1,EGP,25-34,Referral,20241117,Premium,Active
287,ACC00000287,5,EGP,55-64,Paid Social,20241019,Standard,Active
288,ACC00000288,1,EGP,45-54,Paid Social,20230513,Standard,Active
289,ACC00000289,2,EGP,25-34,Google Ads,20240222,Standard,Suspended
290,ACC00000290,3,EGP,35-44,Paid Social,20231106,Standard,Dormant
291,ACC00000291,10,EGP,65+,Organic,20230107,Standard,Active
292,ACC00000292,3,EGP,65+,Branch,20240912,Standard,Active
293,ACC00000293,9,USD,35-44,Google Ads,20240702,Standard,Active
294,ACC00000294,8,EGP,65+,Branch,20231025,Standard,Dormant
295,ACC00000295,1,EGP,45-54,Organic,20240827,Premium,Active
296,ACC00000296,12,EGP,25-34,Organic,20240513,Standard,Dormant
297,ACC00000297,1,EGP,35-44,Google Ads,20240224,Premium,Active
298,ACC00000298,1,EGP,18-24,Organic,20230118,Standard,Active
299,ACC00000299,3,EGP,45-54,Referral,20230422,Standard,Active
300,ACC00000300,2,EGP,45-54,Referral,20241107,Standard,Active
301,ACC00000301,17,EGP,35-44,Paid Social,20241117,Standard,Active
302,ACC00000302,5,EGP,25-34,Partner,20240509,Standard,Active
303,ACC00000303,7,EGP,18-24,Paid Social,20241014,Standard,Suspended
304,ACC00000304,1,EGP,45-54,Organic,20240531,Standard,Active
305,ACC00000305,7,EGP,35-44,Paid Social,20230713,Premium,Active
306,ACC00000306,12,EGP,18-24,Referral,20230622,Premium,Dormant
307,ACC00000307,2,USD,55-64,Referral,20231201,Business,Dormant
308,ACC00000308,3,EGP,25-34,Organic,20241114,Standard,Active
309,ACC00000309,18,EGP,25-34,Organic,20240924,Standard,Active
310,ACC00000310,3,EGP,25-34,Referral,20241027,Business,Active
311,ACC00000311,2,EGP,55-64,Paid Social,20241114,Premium,Active
312,ACC00000312,3,EGP,25-34,Referral,20230910,Premium,Active
313,ACC00000313,1,EGP,35-44,Referral,20231015,Standard,Active
314,ACC00000314,4,EGP,45-54,Paid Social,20230525,Premium,Dormant
315,ACC00000315,6,EGP,45-54,Paid Social,20240916,Premium,Active
316,ACC00000316,4,EGP,25-34,Referral,20241107,Standard,Active
317,ACC00000317,16,EGP,45-54,Referral,20240210,Standard,Active
318,ACC00000318,9,EGP,35-44,Branch,20240622,Standard,Active
319,ACC00000319,4,EGP,18-24,Organic,20230720,Standard,Active
320,ACC00000320,2,EGP,25-34,Partner,20241129,Standard,Active
321,ACC00000321,1,EGP,65+,Paid Social,20241029,Standard,Active
322,ACC00000322,1,EGP,55-64,Organic,20241221,Standard,Active
323,ACC00000323,2,EGP,55-64,Organic,20241002,Premium,Active
324,ACC00000324,1,EGP,25-34,Influencer,20241106,Standard,Active
325,ACC00000325,1,EGP,25-34,Referral,20230211,Premium,Active
326,ACC00000326,18,EGP,45-54,Organic,20240825,Standard,Active
327,ACC00000327,1,EGP,35-44,Referral,20231219,Standard,Active
328,ACC00000328,19,EGP,35-44,Branch,20241129,Standard,Active
329,ACC00000329,7,EGP,18-24,Branch,20240928,Standard,Active
330,ACC00000330,1,EGP,18-24,Branch,20241028,Standard,Active
331,ACC00000331,2,EGP,18-24,Organic,20241002,Standard,Active
332,ACC00000332,16,EGP,35-44,Paid Social,20231029,Standard,Active
333,ACC00000333,1,EGP,25-34,Branch,20240920,Standard,Active
334,ACC00000334,1,EGP,25-34,Organic,20230601,Standard,Dormant
335,ACC00000335,2,EGP,35-44,Paid Social,20241101,Standard,Active
336,ACC00000336,1,EGP,18-24,Paid Social,20241026,Standard,Active
337,ACC00000337,3,EGP,25-34,Organic,20230921,Standard,Active
338,ACC00000338,1,EGP,18-24,Referral,20241005,Standard,Active
339,ACC00000339,12,EGP,25-34,Referral,20240317,Standard,Active
340,ACC00000340,3,EGP,45-54,Branch,20231128,Premium,Active
341,ACC00000341,2,EGP,35-44,Paid Social,20240924,Premium,Active
342,ACC00000342,1,EGP,65+,Paid Social,20230926,Premium,Active
343,ACC00000343,3,EGP,35-44,Branch,20230210,Business,Active
344,ACC00000344,2,EGP,25-34,Organic,20230826,Standard,Active
345,ACC00000345,1,EGP,25-34,Google Ads,20231216,Standard,Active
346,ACC00000346,11,EGP,18-24,Referral,20241028,Standard,Active
347,ACC00000347,2,EGP,25-34,Google Ads,20241216,Standard,Active
348,ACC00000348,1,EGP,25-34,Branch,20231108,Standard,Active
349,ACC00000349,1,EGP,65+,Paid Social,20240704,Standard,Active
350,ACC00000350,1,EGP,45-54,Organic,20240205,Standard,Active
351,ACC00000351,1,EGP,45-54,Paid Social,20241223,Standard,Active
352,ACC00000352,18,EGP,45-54,Paid Social,20240504,Business,Dormant
353,ACC00000353,2,EGP,35-44,Referral,20241203,Standard,Active
354,ACC00000354,5,EGP,25-34,Referral,20230609,Standard,Dormant
355,ACC00000355,2,EGP,18-24,Organic,20241218,Standard,Active
356,ACC00000356,3,USD,55-64,Influencer,20230812,Business,Dormant
357,ACC00000357,13,EGP,65+,Partner,20241214,Premium,Active
358,ACC00000358,2,EGP,45-54,Organic,20231028,Standard,Active
359,ACC00000359,2,EGP,25-34,Branch,20230601,Standard,Closed
360,ACC00000360,1,EGP,25-34,Referral,20240229,Standard,Active
361,ACC00000361,3,EGP,25-34,Referral,20240820,Standard,Active
362,ACC00000362,2,EGP,25-34,Google Ads,20231205,Standard,Active
363,ACC00000363,9,EGP,25-34,Partner,20240614,Premium,Active
364,ACC00000364,1,EGP,35-44,Google Ads,20240418,Business,Active
365,ACC00000365,1,EGP,25-34,Paid Social,20240126,Premium,Active
366,ACC00000366,1,EGP,25-34,Google Ads,20240528,Standard,Active
367,ACC00000367,3,EGP,55-64,Organic,20231019,Premium,Active
368,ACC00000368,4,EGP,25-34,Organic,20240810,Standard,Active
369,ACC00000369,1,EUR,35-44,Google Ads,20230104,Premium,Active
370,ACC00000370,11,EGP,25-34,Organic,20241127,Premium,Active
371,ACC00000371,7,EGP,35-44,Organic,20240505,Standard,Dormant
372,ACC00000372,1,EGP,35-44,Referral,20240816,Standard,Active
373,ACC00000373,1,EGP,45-54,Paid Social,20240828,Business,Active
374,ACC00000374,2,EGP,18-24,Branch,20240720,Standard,Active
375,ACC00000375,1,EGP,25-34,Paid Social,20240111,Standard,Closed
376,ACC00000376,2,USD,35-44,Organic,20230416,Premium,Active
377,ACC00000377,14,EGP,25-34,Branch,20240717,Standard,Active
378,ACC00000378,2,EGP,25-34,Organic,20231218,Standard,Active
379,ACC00000379,4,EGP,18-24,Organic,20231205,Standard,Active
380,ACC00000380,6,EGP,35-44,Organic,20241020,Standard,Active
381,ACC00000381,5,EGP,18-24,Referral,20240816,Standard,Active
382,ACC00000382,2,EGP,55-64,Paid Social,20231125,Standard,Active
383,ACC00000383,1,USD,45-54,Referral,20231202,Premium,Active
384,ACC00000384,1,EGP,25-34,Organic,20240211,Standard,Active
385,ACC00000385,14,EGP,25-34,Referral,20240207,Standard,Active
386,ACC00000386,11,USD,25-34,Paid Social,20231121,Premium,Active
387,ACC00000387,1,EGP,25-34,Organic,20230622,Standard,Dormant
388,ACC00000388,3,EGP,25-34,Referral,20240220,Standard,Active
389,ACC00000389,3,EGP,25-34,Paid Social,20241204,Premium,Active
390,ACC00000390,1,EGP,25-34,Organic,20240724,Standard,Active
391,ACC00000391,4,EGP,18-24,Organic,20241116,Standard,Active
392,ACC00000392,2,EGP,25-34,Partner,20240619,Standard,Active
393,ACC00000393,2,EGP,25-34,Referral,20231125,Business,Active
394,ACC00000394,1,EGP,25-34,Referral,20240511,Standard,Active
395,ACC00000395,10,EGP,25-34,Google Ads,20230101,Standard,Active
396,ACC00000396,4,EGP,18-24,Organic,20231114,Standard,Active
397,ACC00000397,4,EGP,35-44,Branch,20240226,Standard,Active
398,ACC00000398,1,EGP,45-54,Google Ads,20240530,Standard,Closed
399,ACC00000399,4,EGP,18-24,Referral,20240711,Standard,Active
400,ACC00000400,1,EUR,25-34,Branch,20240320,Standard,Active
